permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,lat,lon
2004-017346 EP,C-1000 Commercial Remodel,Remodel,2205 Wirtz Ave,11/16/2005,Interior Remodel To Existing Multi-Family Residential Apts: Remodel Kitchen & Bathrooms,Final,"Wesley Sunvison, Sunvison Electric",206,Bowman,Rd,Suite,A,Round Rock,TX,78664,(512) 238-0484,,,,,,,,,,,,,,36592,1020,6,,Lot: 1 Block: C Subdivision: MEADOWBROOK SUBDIVISION,30.24603838,-97.76579366
2004-017347 EP,C-1000 Commercial Remodel,Remodel,2209 Wirtz Ave,11/16/2005,Interior Remodel To Existing Multi-Family Residential Apts: Remodel Kitchen & Bathrooms,Final,"Wesley Sunvison, Sunvison Electric",206,Bowman,Rd,Suite,A,Round Rock,TX,78664,(512) 238-0484,,,,,,,,,,,,,,36592,1020,6,,Lot: 1 Block: C Subdivision: MEADOWBROOK SUBDIVISION,30.24585399,-97.76606228
2004-018477 PP,R- 435 Renovations/Remodel,Remodel,1206 Bob Harrison,11/16/2005,Remodel/Repair Existing Sf Residence To Min Stds,VOID,"Ray Mojica, Ray Mojica Services Lp",1808,Bench Mark,Dr,,,Austin,TX,78728,(512) 251-7731,ALWYN DESIGN & CONSTRUCTION L L C APT B,,,,,,AUSTIN,TX,78703 3390,,,,,7500,,,,Lot: 2 1/2 Block: 7 Subdivision: JAMES OREILLYS SUBDIVISION RESUB OF LOTS 1-4 BLK 7,30.27451731,-97.72760786
2004-018479 PP,R- 435 Renovations/Remodel,Remodel,1208-B Bob Harrison,11/16/2005,Remodel/Repair Existing Sf Residence To Min Stds,VOID,"Ray Mojica, Ray Mojica Services Lp",1808,Bench Mark,Dr,,,Austin,TX,78728,(512) 251-7731,,,,,,,,,,,,,,7500,,,,Lot: 3 Block: 7 Subdivision: JAMES OREILLYS SUBDIVISION RESUB OF LOTS 1-4 BLK 7,,
2005-000013 MP,R- 101 Single Family Houses,New,5406 Woodrow Ave,11/16/2005,"New 2 Story Addition W/ Attached Carport & Garage, & 1st Floor Util. Rm. & Breezeway, & Cov'D Patio, Cov'D Porch To Create 5 Bedrm (Total) Duplex",Final,"Kent Groves, K & K Air Conditioning & Heating",,,,,,Round Rock,TX,78680,(512) 335-1671,,,,,,,,,,,,,,101000,,1,,Lot: 14 Block: 13 Subdivision: NORTH LOOP TERRACE 2 SHEETS,30.32602054,-97.7349285
2005-002591 PP,R- 101 Single Family Houses,New,15521 Brodick Dr,11/16/2005,New 2 Sty Sf Residence W.Att Garage Cvd Porch-Patio,Final,"Todd Cox, Mustang Plumbing, Inc.",2001,Red Bud,LN,,,Round Rock,TX,78664,,,,,,,,,,,,,,,189000,,1,,,30.50200164,-97.76505559
2005-003102 EP,R- 101 Single Family Houses,New,1601 Milagro Dr,11/16/2005,New Two Story Res W/Att Garage & Covered Patio & Porch,Final,"Fred Hoskins, Hoskins Electric Co.",414,Thompson,LN,,,Austin,TX,78742,(512) 385-8831,,,,,,,,,,,,4412,,310541,,,,Lot: 39 Block: C Subdivision: SENNA HILLS SECTION 7,30.31457334,-97.89882532
2005-003106 PP,R- 101 Single Family Houses,New,1605 Milagro Dr,11/16/2005,New 2 Sty Sf Residence W./Att Garage Cvd Porch-Patio,Final,"Todd Cox, Mustang Plumbing, Inc.",2001,Red Bud,LN,,,Round Rock,TX,78664,,,,,,,,,,,,,5915,,378000,,1,,,30.31436746,-97.89865892
2005-003219 MP,R- 101 Single Family Houses,New,4301 Avenue A,11/16/2005,New Two Story Res W/Att Covered Porch-,Final,"George Christianson, Casa Mechanical Services",2401,Old Settlers,,,,Round Rock,TX,78665,(512) 334-7300,,,,,,,,,,,,,,215000,,,,Lot: 16 Block: 11 Subdivision:,30.30823691,-97.73317338
2005-003769 MP,C-1000 Commercial Remodel,Remodel,1301 S Mo-Pac Nb Expy Bldg 4,11/16/2005,Tenant Finish-Out For Admn/Bus Offices - Garden Level,Final,"Richard Hilderbrand, 5-F Mechanical Co.",,,,,,Austin,TX,78708-1305,(512) 251-6880,,,,,,,,,,,,,,35250,1400,,,"Lot: 1A Block: Subdivision: WALLINGWOOD SECTION II, A RESUBDIVISION OF LOT 1",,
