permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1996-014573 BP,C-1000 Commercial Remodel,Remodel,505 Neches Street                 A .00000,10/15/1996,Remdl Exist Shell For Cocktail Lounge/Add Sw**,Final,,,,,,,,,,,,,,,,,,,,,,,,200000,,1,,Lot:   Block:   Subdivision: OUTLOT 60 DIVISION E,505 NECHES STREET,30.26618772,-97.73823874,,,,,
1996-014573 MP,C-1000 Commercial Remodel,Remodel,505 Neches Street                 A .00000,10/15/1996,Remdl Exist Shell For Cocktail Lounge/Add Sw**,Final,,,,,,,,,,,,,,,,,,,,,,,,200000,,1,,Lot:   Block:   Subdivision: OUTLOT 60 DIVISION E,505 NECHES STREET,30.26618772,-97.73823874,,,,,
1996-014573 PP,C-1000 Commercial Remodel,Remodel,505 Neches Street                 A .00000,10/15/1996,Remdl Exist Shell For Cocktail Lounge/Add Sw**,Final,,,,,,,,,,,,,,,,,,,,,,,,200000,,1,,Lot:   Block:   Subdivision: OUTLOT 60 DIVISION E,505 NECHES STREET,30.26618772,-97.73823874,,,,,
1996-014640 BP,C-1000 Commercial Remodel,Remodel,801 William Cannon Drive East     A  00300,10/15/1996,Install Outdoor Walk-In Freezer,Final,,,,,,,,,,,,,,,,,,,,,,,,7300,,1,,Lot: LOT 1 Block:   Subdivision: CENTURY SOUTH,801 WILLIAM CANNON DRIVE EAST,30.19061659,-97.77229847,,,,,
1996-014640 EP,C-1000 Commercial Remodel,Remodel,801 William Cannon Drive East     A  00300,10/15/1996,Install Outdoor Walk-In Freezer,Final,,,,,,,,,,,,,,,,,,,,,,,,7300,,1,,Lot: LOT 1 Block:   Subdivision: CENTURY SOUTH,801 WILLIAM CANNON DRIVE EAST,30.19061659,-97.77229847,,,,,
1996-014640 MP,C-1000 Commercial Remodel,Remodel,801 William Cannon Drive East     A  00300,10/15/1996,Install Outdoor Walk-In Freezer,Final,,,,,,,,,,,,,,,,,,,,,,,,7300,,1,,Lot: LOT 1 Block:   Subdivision: CENTURY SOUTH,801 WILLIAM CANNON DRIVE EAST,30.19061659,-97.77229847,,,,,
1996-017420 BP,R- 101 Single Family Houses,New,5302 Lark Creek Drive              A  00000,10/15/1996,New 1 Stry Res Att Garage Cvrd Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,Lot: 91 Block: K Subdivision: WILLIAMSON SUBDIVISION SECTION TWO,5302 LARK CREEK DRIVE,30.19468308,-97.73640671,,,,,
1996-017420 DS,Res. Driveway & Sidewalk,New,5302 Lark Creek Drive              A  00000,10/15/1996,New 1 Stry Res Att Garage Cvrd Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,,,Lot: 91 Block: K Subdivision: WILLIAMSON SUBDIVISION SECTION TWO,5302 LARK CREEK DRIVE,30.19468308,-97.73640671,,,,,
1996-017420 EP,R- 101 Single Family Houses,New,5302 Lark Creek Drive              A  00000,10/15/1996,New 1 Stry Res Att Garage Cvrd Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,Lot: 91 Block: K Subdivision: WILLIAMSON SUBDIVISION SECTION TWO,5302 LARK CREEK DRIVE,30.19468308,-97.73640671,,,,,
1996-017420 MP,R- 101 Single Family Houses,New,5302 Lark Creek Drive              A  00000,10/15/1996,New 1 Stry Res Att Garage Cvrd Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,Lot: 91 Block: K Subdivision: WILLIAMSON SUBDIVISION SECTION TWO,5302 LARK CREEK DRIVE,30.19468308,-97.73640671,,,,,
1996-017420 PP,R- 101 Single Family Houses,New,5302 Lark Creek Drive              A  00000,10/15/1996,New 1 Stry Res Att Garage Cvrd Porch,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,Lot: 91 Block: K Subdivision: WILLIAMSON SUBDIVISION SECTION TWO,5302 LARK CREEK DRIVE,30.19468308,-97.73640671,,,,,
1996-017510 BP,C-1000 Commercial Remodel,Remodel,7801 Lamar Boulevard North         A C00045,10/15/1996,Remodel Show Room For Pesticide Company,Final,,,,,,,,,,,,,,,,,,,,,,,,250,,1,,,7801 LAMAR BOULEVARD NORTH,30.34539112,-97.71302334,,,,,
1996-017540 BP,C-1000 Commercial Remodel,Remodel,3503 Lamar Boulevard South         A? 00000,10/15/1996,Addition Modular Building,Final,,,,,,,,,,,,,,,,,,,,,,,,9145,,1,,,3503 LAMAR BOULEVARD SOUTH,30.23962075,-97.78659584,,,,,
1996-017540 EP,C-1000 Commercial Remodel,Remodel,3503 Lamar Boulevard South         A? 00000,10/15/1996,Addition Modular Building,Final,,,,,,,,,,,,,,,,,,,,,,,,9145,,1,,,3503 LAMAR BOULEVARD SOUTH,30.23962075,-97.78659584,,,,,
1996-017540 MP,C-1000 Commercial Remodel,Remodel,3503 Lamar Boulevard South         A? 00000,10/15/1996,Addition Modular Building,Final,,,,,,,,,,,,,,,,,,,,,,,,9145,,1,,,3503 LAMAR BOULEVARD SOUTH,30.23962075,-97.78659584,,,,,
1996-017540 PP,C-1000 Commercial Remodel,Remodel,3503 Lamar Boulevard South         A? 00000,10/15/1996,Addition Modular Building,Final,,,,,,,,,,,,,,,,,,,,,,,,9145,,1,,,3503 LAMAR BOULEVARD SOUTH,30.23962075,-97.78659584,,,,,
1996-017568 BP,R- 101 Single Family Houses,New,8035 Bottlebrush Drive             A  00000,10/15/1996,New Res W/Deck & Covered Walkway Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,108250,,1,,LOT 66 BLK B JESTER POINT 2 SEC 6-B,8035 BOTTLEBRUSH DRIVE,30.39268983,-97.79972563,,,,,
1996-017568 DS,Res. Driveway & Sidewalk,New,8035 Bottlebrush Drive             A  00000,10/15/1996,New Res W/Deck & Covered Walkway Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,108250,,,,LOT 66 BLK B JESTER POINT 2 SEC 6-B,8035 BOTTLEBRUSH DRIVE,30.39268983,-97.79972563,,,,,
1996-017568 EP,R- 101 Single Family Houses,New,8035 Bottlebrush Drive             A  00000,10/15/1996,New Res W/Deck & Covered Walkway Att Garage,Final,,,,,,,,,,,,,,,,,,,,,,,,108250,,1,,LOT 66 BLK B JESTER POINT 2 SEC 6-B,8035 BOTTLEBRUSH DRIVE,30.39268983,-97.79972563,,,,,
