permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1988-010814 BP,C-1000 Commercial Remodel,Remodel,1504 San Antonio Street            A .00000,11/02/1988,Remodel/Create Day Care Center,Final,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,,1504 SAN ANTONIO STREET,30.27875403,-97.74422045,,,,,
1988-010814 EP,C-1000 Commercial Remodel,Remodel,1504 San Antonio Street            A .00000,11/02/1988,Remodel/Create Day Care Center,Final,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,,1504 SAN ANTONIO STREET,30.27875403,-97.74422045,,,,,
1988-010814 MP,C-1000 Commercial Remodel,Remodel,1504 San Antonio Street            A .00000,11/02/1988,Remodel/Create Day Care Center,Final,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,,1504 SAN ANTONIO STREET,30.27875403,-97.74422045,,,,,
1988-010814 PP,C-1000 Commercial Remodel,Remodel,1504 San Antonio Street            A .00000,11/02/1988,Remodel/Create Day Care Center,Final,,,,,,,,,,,,,,,,,,,,,,,,20000,,1,,,1504 SAN ANTONIO STREET,30.27875403,-97.74422045,,,,,
1988-013299 EP,Sign Permit,,7501 Us Highway 290 East           A  00000,11/02/1988,Pole Sign For Federal Credit Union,VOID,,,,,,,,,,,AUSTIN TELCO FEDERAL CREDIT UNION % TEXAS PROTAX AUSTIN INC,,,,,,AUSTIN,TX,78723,,,,,,,1,,LOT 1 ENGELBRECHT ADDN,7501 US HIGHWAY 290 EAST,30.22862288,-97.88070263,,,,,
1988-013317 BP,C-1000 Commercial Remodel,Remodel,801 Chalmers Avenue               A  00000,11/02/1988,Remodel Existing Dormitory,Final,,,,,,,,,,,,,,,,,,,,,,,,240000,,74,,,801 CHALMERS AVENUE,,,,,,,
1988-013317 EP,C-1000 Commercial Remodel,Remodel,801 Chalmers Avenue               A  00000,11/02/1988,Remodel Existing Dormitory,Final,,,,,,,,,,,,,,,,,,,,,,,,240000,,74,,,801 CHALMERS AVENUE,,,,,,,
1988-013317 MP,C-1000 Commercial Remodel,Remodel,801 Chalmers Avenue               A  00000,11/02/1988,Remodel Existing Dormitory,Final,,,,,,,,,,,,,,,,,,,,,,,,240000,,74,,,801 CHALMERS AVENUE,,,,,,,
1988-013317 PP,C-1000 Commercial Remodel,Remodel,801 Chalmers Avenue               A  00000,11/02/1988,Remodel Existing Dormitory,Final,,,,,,,,,,,,,,,,,,,,,,,,240000,,74,,,801 CHALMERS AVENUE,,,,,,,
1988-013485 EP,Sign Permit,Remodel,9828 Great Hills Trail             A  00000,11/02/1988,Pole Sign For General Cinema,VOID,,,,,,,,,,,GREAT HILLS RETAIL INC,,,,,,AUSTIN,TX,78701 2932,,,,,,,1,,LOT 1 LESS .764A SCHMIDT TRACT NO 1,9828 GREAT HILLS TRAIL,30.39447983,-97.74827513,,,,,
1988-013562 EP,Sign Permit,,2606 Guadalupe Street              A  00000,11/02/1988,Pole Sign For Conans Pizza,Final,,,,,,,,,,,,,,,,,,,,,,,,,,1,,50 X 150FT & 20 X 130FT OLT 62 DIVISION D,2606 GUADALUPE STREET,30.29122706,-97.74150969,,,,,
1988-013631 BP,C-1000 Commercial Remodel,Remodel,4221 Freidrich Lane                A C00190,11/02/1988,Remodel Exist Office/Warehouse For Cubix,Final,,,,,,,,,,,WEINGARTEN REALTY INVESTORS,,,,,,HOUSTON,TX,77002 3217,,,,,47000,,1,,Lot: 12 Block:   Subdivision:  ,4221 FREIDRICH LANE,30.21154538,-97.74849248,,,,,
1988-013631 EP,C-1000 Commercial Remodel,Remodel,4221 Freidrich Lane                A C00190,11/02/1988,Remodel Exist Office/Warehouse For Cubix,Final,,,,,,,,,,,WEINGARTEN REALTY INVESTORS,,,,,,HOUSTON,TX,77002 3217,,,,,47000,,1,,Lot: 12 Block:   Subdivision:  ,4221 FREIDRICH LANE,30.21154538,-97.74849248,,,,,
1988-013631 MP,C-1000 Commercial Remodel,Remodel,4221 Freidrich Lane                A C00190,11/02/1988,Remodel Exist Office/Warehouse For Cubix,Final,,,,,,,,,,,WEINGARTEN REALTY INVESTORS,,,,,,HOUSTON,TX,77002 3217,,,,,47000,,1,,Lot: 12 Block:   Subdivision:  ,4221 FREIDRICH LANE,30.21154538,-97.74849248,,,,,
1988-013631 PP,C-1000 Commercial Remodel,Remodel,4221 Freidrich Lane                A C00190,11/02/1988,Remodel Exist Office/Warehouse For Cubix,Final,,,,,,,,,,,WEINGARTEN REALTY INVESTORS,,,,,,HOUSTON,TX,77002 3217,,,,,47000,,1,,Lot: 12 Block:   Subdivision:  ,4221 FREIDRICH LANE,30.21154538,-97.74849248,,,,,
