permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,lat,lng
2010-102292 PP,C- 104 Three & Four Family Bldgs,New,14001 AVERY RANCH BLVD BLDG 15,11/19/2012,New Multi-Family Fourplex Townhomes,Final,"Brian Trent Christianson, CHRISTIANSON PLUMBING",1950,LOUIS HENNA BLVD,Road,,,ROUND ROCK,TX,78664,(512) 246-5200,,,,,,,,,,,,9508,,,,4,0,,30.49373694,-97.7910672
2011-110722 MP,R- 101 Single Family Houses,New,1704 EAST SIDE DR,11/19/2012,"New 3 story SF res -Lower Level: attached 2-car garage, mud rm, stairwell, unconditioned storage, side covered porch (N); Main Level: guest suite, guest bath, utility rm, stairwell, dining rm, powder rm, living rm, pantry, kitchen, & rear cov'd porch; Upper level: stairwell, bedrm #2, bath #2, hall, storage, closet, master suite, master bath, & master W.I.C.",Final,"John Austin Williams, Stan's Heating and Air Conditioning",9200,WATERFORD CENTRE,BLVD,Suite,100,AUSTIN,TX,78758,(512) 929-9393,WELDER LEO JAMES III,,,,,,AUSTIN,TX,78704,,,3799,,,,1,0,LOT 5 ARCHER ROY C,30.24521053,-97.74556411
2011-110724 MP,R- 330 Accessory Use to Primary,New,1704 EAST SIDE DR,11/19/2012,"Detached 2 story cabana -front covered patio(w/outdoor grill), living room, bathroom, stairwell; 2nd FL: stairwell, storage, & loft",Final,"John Austin Williams, Stan's Heating and Air Conditioning",9200,WATERFORD CENTRE,BLVD,Suite,100,AUSTIN,TX,78758,(512) 929-9393,WELDER LEO JAMES III,,,,,,AUSTIN,TX,78704,,,1127,,,,1,0,LOT 5 ARCHER ROY C,30.24521053,-97.74556411
2012-005110 MP,C-1000 Commercial Remodel,Remodel,501 PEDERNALES ST BLDG 1,11/19/2012,Change of use and remodel from office/warehouse to office/warehouse/custom manufacturing/storage,Final,"Jacob Boelter, Arctica A/C And Heating",7605,GAINES MILL,LN,,,AUSTIN,TX,78745,(512) 775-0705,,,,,,,,,,,,,,,8730,0,0,,,
2012-007173 DS,Res. Driveway,New,1010 HILLSIDE AVE,11/19/2012,Construct new driveway approach. Sidewalk fee paid in lieu of construction. See attached.**nmt New 3 story SF res,Final,"Ike Griggs, Texas Slab Company",,,,,,Georgetown,TX,78627,(512) 784-3197,,,,,,,,,,,,,,,,,0,LOT 10 BLK 4 NORWOOD HEIGHTS,,
2012-041166 PP,R- 329 Res Structures Other Than Bldg,New,200 BIRNAM WOOD CT,11/19/2012,inground pool and spa for sfres,Withdrawn,"Donald Dahl, Dahl Plumbing Co.",,,,,,Austin,TX,78708,(512) 750-3165,,,,,,,,,,,,428,,,,1,0,Lot: 21 Block: A Subdivision: STRATFORD HILLS SUBDIVISION SECTION III,30.28777197,-97.79146128
2012-063293 EP,C-1000 Commercial Remodel,Remodel,1910 1/2 E 6TH ST,11/19/2012,Remodel to existing Telecommunications Towers to replace antennas and equipment cabinets,Final,"Robert Schmidt, Schmidt Electric Co Inc.(Main)",9701,Fm 1625,,,,Austin,TX,78747,(512) 243-1450,,,,,,,,,,,,,,,100,0,0,Lot: 2 Block: Subdivision: H & T C R R ADDN 1909,30.26204002,-97.72196341
2012-064319 EP,C-1000 Commercial Remodel,Remodel,1033 1/2 E 41ST ST,11/19/2012,Remodel to existing Telecommunications Tower to replace antennas and equipment cabinet,Final,"Robert Schmidt, Schmidt Electric Co Inc.(Main)",9701,Fm 1625,,,,Austin,TX,78747,(512) 243-1450,,,,,,,,,,,,,,,100,0,0,"Lot: 1 Block: A Subdivision: PLAINVIEW HEIGHTS, RESUB OF THE REMAINDER OF LOT 4 & ALL OF LOT 5 OF THE RESUB O",30.29763111,-97.71904846
2012-066052 PP,C-1000 Commercial Remodel,Remodel,3601 WEBBERVILLE RD,11/19/2012,Repair and Replace HVAC to existing Public Primary Educational,Final,"John Ward,",,,,,,Manchaca,TX,78652,(512) 282-9691,,,,,,,,,,,,,,,1250,0,0,,,
2012-073054 EP,C-1000 Commercial Remodel,Remodel,1000 1/2 E 11TH ST,11/19/2012,Remodel to existing Telecommunications Tower site to exchange cabinets for new FCOA cabinets REPLACES EXP PMT # 2011-045692BP,Final,"Robert Schmidt, Schmidt Electric Co Inc.(Main)",9701,Fm 1625,,,,Austin,TX,78747,(512) 243-1450,,,,,,,,,,,,,,,100,0,0,"Lot: 15B Block: 1 Subdivision: 1000 BLOCK EAST 11TH STREET, REPLAT OF",30.26965897,-97.72992262
