permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1986-002677 BP,C-1000 Commercial Remodel,Remodel,12636 Research Boulevard            A A00010,09/12/1986,Remodel Furniture Store To Create Restaurant,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,,12636 RESEARCH BOULEVARD,30.43071268,-97.76363485,,,,,
1986-002677 EP,C-1000 Commercial Remodel,Remodel,12636 Research Boulevard            A A00010,09/12/1986,Remodel Furniture Store To Create Restaurant,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,,12636 RESEARCH BOULEVARD,30.43071268,-97.76363485,,,,,
1986-002677 MP,C-1000 Commercial Remodel,Remodel,12636 Research Boulevard            A A00010,09/12/1986,Remodel Furniture Store To Create Restaurant,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,,12636 RESEARCH BOULEVARD,30.43071268,-97.76363485,,,,,
1986-002677 PP,C-1000 Commercial Remodel,Remodel,12636 Research Boulevard            A A00010,09/12/1986,Remodel Furniture Store To Create Restaurant,Final,,,,,,,,,,,,,,,,,,,,,,,,70000,,1,,,12636 RESEARCH BOULEVARD,30.43071268,-97.76363485,,,,,
1986-006113 BP,"C- 437 Addn, Alter, Convn-NonRes",Addition,3900 Howard Lane                   A .00000,09/12/1986,Addition To Exist Bldg. For Production Support,Final,,,,,,,,,,,,,,,,,,,,,,,,52000,,1,,ABS 312 SUR 60 GARCIA F ACR 170.144 (1-D-1),3900 HOWARD LANE,30.44425308,-97.70174611,,,,,
1986-006113 EP,"C- 437 Addn, Alter, Convn-NonRes",Addition,3900 Howard Lane                   A .00000,09/12/1986,Addition To Exist Bldg. For Production Support,Final,,,,,,,,,,,,,,,,,,,,,,,,52000,,1,,ABS 312 SUR 60 GARCIA F ACR 170.144 (1-D-1),3900 HOWARD LANE,30.44425308,-97.70174611,,,,,
1986-006113 MP,"C- 437 Addn, Alter, Convn-NonRes",Addition,3900 Howard Lane                   A .00000,09/12/1986,Addition To Exist Bldg. For Production Support,Final,,,,,,,,,,,,,,,,,,,,,,,,52000,,1,,ABS 312 SUR 60 GARCIA F ACR 170.144 (1-D-1),3900 HOWARD LANE,30.44425308,-97.70174611,,,,,
1986-006113 PP,"C- 437 Addn, Alter, Convn-NonRes",Addition,3900 Howard Lane                   A .00000,09/12/1986,Addition To Exist Bldg. For Production Support,Final,,,,,,,,,,,,,,,,,,,,,,,,52000,,1,,ABS 312 SUR 60 GARCIA F ACR 170.144 (1-D-1),3900 HOWARD LANE,30.44425308,-97.70174611,,,,,
1986-015549 BP,C-1000 Commercial Remodel,Remodel,501 Powell Lane West              A  00401,09/12/1986,Finish Out For Take Out Food/Recreation Area,Final,,,,,,,,,,,,,,,,,,,,,,,,13657,,1,,,501 POWELL LANE WEST,30.34848503,-97.70655727,,,,,
1986-015549 EP,C-1000 Commercial Remodel,Remodel,501 Powell Lane West              A  00401,09/12/1986,Finish Out For Take Out Food/Recreation Area,Final,,,,,,,,,,,,,,,,,,,,,,,,13657,,1,,,501 POWELL LANE WEST,30.34848503,-97.70655727,,,,,
1986-015549 MP,C-1000 Commercial Remodel,Remodel,501 Powell Lane West              A  00401,09/12/1986,Finish Out For Take Out Food/Recreation Area,Final,,,,,,,,,,,,,,,,,,,,,,,,13657,,1,,,501 POWELL LANE WEST,30.34848503,-97.70655727,,,,,
1986-015549 PP,C-1000 Commercial Remodel,Remodel,501 Powell Lane West              A  00401,09/12/1986,Finish Out For Take Out Food/Recreation Area,Final,,,,,,,,,,,,,,,,,,,,,,,,13657,,1,,,501 POWELL LANE WEST,30.34848503,-97.70655727,,,,,
1986-015559 BP,C-1000 Commercial Remodel,Remodel,5730 Manchaca Road                 A .00017,09/12/1986,Remodel Dps Drivers License Bureau,Final,,,,,,,,,,,,,,,,,,,,,,,,48000,,1,,,5730 MANCHACA ROAD,,,,,,,
