permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1986-012003 BP,C-1000 Commercial Remodel,Remodel,1812 Centre Creek Drive            A  00301,12/30/1986,Finish Out For Office/Laboratory,Final,,,,,,,,,,,RANCHO TEXAS 20 INVESTMENTS LP & RANCHO TEXAS 40 INVESTMENTS LP,,,,,,AUSTIN,TX,78757 1267,,,,,20000,,1,,,1812 CENTRE CREEK DRIVE,30.33711175,-97.67702942,,,,,
1986-012003 EP,C-1000 Commercial Remodel,Remodel,1812 Centre Creek Drive            A  00301,12/30/1986,Finish Out For Office/Laboratory,Final,,,,,,,,,,,RANCHO TEXAS 20 INVESTMENTS LP & RANCHO TEXAS 40 INVESTMENTS LP,,,,,,AUSTIN,TX,78757 1267,,,,,20000,,1,,,1812 CENTRE CREEK DRIVE,30.33711175,-97.67702942,,,,,
1986-012003 MP,C-1000 Commercial Remodel,Remodel,1812 Centre Creek Drive            A  00301,12/30/1986,Finish Out For Office/Laboratory,Final,,,,,,,,,,,RANCHO TEXAS 20 INVESTMENTS LP & RANCHO TEXAS 40 INVESTMENTS LP,,,,,,AUSTIN,TX,78757 1267,,,,,20000,,1,,,1812 CENTRE CREEK DRIVE,30.33711175,-97.67702942,,,,,
1986-012003 PP,C-1000 Commercial Remodel,Remodel,1812 Centre Creek Drive            A  00301,12/30/1986,Finish Out For Office/Laboratory,Final,,,,,,,,,,,RANCHO TEXAS 20 INVESTMENTS LP & RANCHO TEXAS 40 INVESTMENTS LP,,,,,,AUSTIN,TX,78757 1267,,,,,20000,,1,,,1812 CENTRE CREEK DRIVE,30.33711175,-97.67702942,,,,,
1986-016973 BP,C-1000 Commercial Remodel,Remodel,2206 Hidalgo Street                A  00000,12/30/1986,Remodel Existing Repair Garage To Create Record Shop,Final,,,,,,,,,,,,,,,,,,,,,,,,16000,,1,,0.1412 AC OF LOT 4 BLK 13 OLT 23 DIV A LINCOLN PLACE,2206 HIDALGO STREET,30.26109732,-97.71756927,,,,,
1986-016973 DS,Com. Driveway & Sidewalk,Modification,2206 Hidalgo Street                A  00000,12/30/1986,Remodel Existing Repair Garage To Create,Final,,,,,,,,,,,,,,,,,,,,,,,,16000,,,,0.1412 AC OF LOT 4 BLK 13 OLT 23 DIV A LINCOLN PLACE,2206 HIDALGO STREET,30.26109732,-97.71756927,,,,,
1986-016973 EP,C-1000 Commercial Remodel,Remodel,2206 Hidalgo Street                A  00000,12/30/1986,Remodel Existing Repair Garage To Create,Final,,,,,,,,,,,,,,,,,,,,,,,,16000,,1,,0.1412 AC OF LOT 4 BLK 13 OLT 23 DIV A LINCOLN PLACE,2206 HIDALGO STREET,30.26109732,-97.71756927,,,,,
1986-016973 MP,C-1000 Commercial Remodel,Remodel,2206 Hidalgo Street                A  00000,12/30/1986,Remodel Existing Repair Garage To Create,Final,,,,,,,,,,,,,,,,,,,,,,,,16000,,1,,0.1412 AC OF LOT 4 BLK 13 OLT 23 DIV A LINCOLN PLACE,2206 HIDALGO STREET,30.26109732,-97.71756927,,,,,
1986-016973 PP,C-1000 Commercial Remodel,Remodel,2206 Hidalgo Street                A  00000,12/30/1986,Remodel Existing Repair Garage To Create,Final,,,,,,,,,,,,,,,,,,,,,,,,16000,,1,,0.1412 AC OF LOT 4 BLK 13 OLT 23 DIV A LINCOLN PLACE,2206 HIDALGO STREET,30.26109732,-97.71756927,,,,,
1986-017096 BP,C-1000 Commercial Remodel,Remodel,13492 Research Boulevard            A  00500,12/30/1986,Remodel Interior Of Existing Video Store,Expired,,,,,,,,,,,,,,,,,,,,,,,,900,,1,,,13492 RESEARCH BOULEVARD,,,,,,,
