permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,lat,lng
2007-140054 PP,C- 104 Three & Four Family Bldgs,New,14815 AVERY RANCH BLVD BLDG 2,01/14/2009,New triplex apartments,Final,"Brian Trent Christianson, CHRISTIANSON PLUMBING",1950,LOUIS HENNA BLVD,Road,,,ROUND ROCK,TX,78664,(512) 246-5200,,,,,,,,,,,,5640,,,,3,0,,30.49701444,-97.77767483
2007-140070 PP,C- 104 Three & Four Family Bldgs,New,14815 AVERY RANCH BLVD BLDG 23,01/14/2009,New triplex apartments,Final,"Brian Trent Christianson, CHRISTIANSON PLUMBING",1950,LOUIS HENNA BLVD,Road,,,ROUND ROCK,TX,78664,(512) 246-5200,,,,,,,,,,,,5620,,,,3,0,,30.49701444,-97.77767483
2007-155218 EP,C- 105 Five or More Family Bldgs,New,3200 GRANDVIEW ST,01/14/2009,New multi-family residence condominiums.,Final,"Fred Hoskins, Hoskins Electric Co.",414,Thompson,LN,,,Austin,TX,78742,(512) 385-8831,,,,,,,,,,,,40847,,,,16,0,,30.3012533,-97.74456456
2008-017745 MP,C-1000 Commercial Remodel,Remodel,1801 N LAMAR BLVD UNIT 201A,01/14/2009,TENANT FINISH OUT TO CREATE ADMINISTRATIVE/BUSINESS OFFICE,Final,"James L. Brown, Thermal Mechanical Contractors Inc.",,,,,,Manor,TX,78653,(512) 272-4547,,,,,,,,,,,,,,,2114,0,0,Lot: 1 Block: A Subdivision: ROBERT G. MICKEY ADDITION,30.2834231,-97.7514022
2008-020753 EP,C- 329 Com Structures Other Than Bldg,New,10101 S 1ST ST BLDG 1,01/14/2009,NEW CONSTRUCTION SWIMMING POOL & SPA W/REQUIRED ENCLOSURE DEVICE,Final,"Carl Self, C.S. Electric, Ltd.",1834,Ferguson,LN,Suite,100,Austin,TX,78754,(512) 719-5500,,,,,,,,,,,,113,,,,0,0,"Lot: 25 Block: A Subdivision: SOUTHPARK MEADOWS SUBDIVISION, AMENDED PLAT",30.15738395,-97.79972984
2008-053314 MP,C-1000 Commercial Remodel,Remodel,1510 W 6TH ST BLDG 1,01/14/2009,Interior Remodel to existing Multi-Family Res Units - add washer/dryer/new cabinets/exterior residing/misc. (1510 W 6TH REMODEL),VOID,"Richard Pedro, Tropic Services, Inc.",1105,Castle Ridge,Rd,,,Austin,TX,78746,(512) 346-2600,,,,,,,,,,,,,,,3472,8,0,,30.27508969,-97.76220713
2008-053316 MP,C-1000 Commercial Remodel,Remodel,1510 W 6TH ST BLDG 2,01/14/2009,"Interior/exterior remodel to existing Multi-Family Res. Units: to add washer & dryers, new cabinets,exterior residing, misc. (1510 W 6TH REMODEL)",VOID,"Richard Pedro, Tropic Services, Inc.",1105,Castle Ridge,Rd,,,Austin,TX,78746,(512) 346-2600,,,,,,,,,,,,,,,10416,8,0,,,
2008-053317 MP,C-1000 Commercial Remodel,Remodel,1510 W 6TH ST BLDG 3,01/14/2009,"Interior/exterior remodel to existing Multi-Family Res. Units: to add washer & dryers, new cabinets,exterior residing, misc. (1510 W 6TH REMODEL)",VOID,"Richard Pedro, Tropic Services, Inc.",1105,Castle Ridge,Rd,,,Austin,TX,78746,(512) 346-2600,,,,,,,,,,,,,,,3472,8,0,,,
2008-054318 MP,"C- 324 Office, Bank & Professional Bldgs",New,1725 E RIVERSIDE DR UNIT C,01/14/2009,New Pre-Fab Admn/Bus Office bldg,Final,"Delbert Mckenzie, Mckenzie Refrigeration Service",111,halliburton,CT,,,bertram,TX,78605,(512) 892-0158,,,,,,,,,,,,528,,,,1,0,LOT 1 DAVID-KELLY SUBD,30.24355087,-97.73003049
2008-064943 PP,R- 101 Single Family Houses,New,10708 ROY BUTLER DR,01/14/2009,"New 2-story single-family residence, attached garage, covered porch and patio.",Final,"Todd Cox, Mustang Plumbing, Inc.",2001,Red Bud,LN,,,Round Rock,TX,78664,,,,,,,,,,,,,5158,,,,1,0,,30.50478054,-97.76456726
