permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
2002-014587 MP,"C- 437 Addn, Alter, Convn-NonRes",Addition,4311 S 1ST ST,10/16/2015,Change Ouf Use From Medical Office To Law Office Remodel And Add To Building,Final,"George Stuckey, FOX Service Company",,,,,,Austin,TX,78760,(512) 442-6782,G & P LP,,,,,,AUSTIN,TX,78745 1128,,,,,37500,,,,"Lot: 4 Block:   Subdivision: FORT VIEW SUBDIVISION, RESUB OF LOTS 1 & 4 OF THE RESUB OF LOTS 15 & 16",4311 S 1ST ST,30.22230025,-97.77183155,,,,,,4311 S 1ST ST,30.22230025,-97.77183155,,,,,
2014-067521 PP,R- 101 Single Family Houses,New,2901 WATER BANK CV,10/16/2015,"New 2 story single family res with 5 bedrooms, 6.5 bath, with study, office, game room and 3 car attached garage, and covered porch/patio",Active,"Santiago C Perez, A Plus PCS Plumbing Co",603,Old Austin Pflugerville ,RD,,,Austin,TX,78660,(512) 989-2902,,,,,,,,,,,,9042,,,,1,0,Lot: 42 Block: C Subdivision: DAVENPORT RANCH PH 7 SEC 3 AMND,2901 WATER BANK CV,30.32468623,-97.8043678,,,,,,2901 WATER BANK CV,30.32468623,-97.8043678,,,,,
2014-118818 PP,Residential ,Remodel,2220 TARLTON CV,10/16/2015,tunnel under slab to repair drain line to residence.,Final,"Dale Wayne Batson, Dale Batson Plumbing",1120,52nd,,,,Austin,TX,78723,(512) 563-4330,,,,,,,,,,,,,,,,0,0,LOT 6 BLK A EANES PLACE SUBD,2220 TARLTON CV,30.26249583,-97.80951045,,,,,,2220 TARLTON CV,30.26249583,-97.80951045,,,,,
2014-118830 EP,R- 438 Residential Garage/Carport Addn,New,1806 ALEGRIA RD,10/16/2015,detached garage-537 sq. ft,Final,"Jim Dondlinger, Dondlinger Electric",6437,Spicewood Sp,Rd,,,Austin,TX,78759,(512) 349-9473,,,,,,,,,,,,537,,,,1,0,,1806 ALEGRIA RD,30.33633925,-97.7348979,,,,,,1806 ALEGRIA RD,30.33633925,-97.7348979,,,,,
2014-136412 MP,R- 103 Two Family Bldgs,New,1002 SOUTH CENTER ST,10/16/2015,"New 2 story duplex.  6 bedrooms, 5 baths, 2 car carport.",Active,"George Christianson, Casa Mechanical Services",2401,Old Settlers,,,,Round Rock,TX,78665,(512) 334-7300,,,,,,,,,,,,4510,,,,2,0,LOT 4 GARDEN OAKS SEC 6,1002 SOUTH CENTER ST,30.23210986,-97.77275596,,,,,,1002 SOUTH CENTER ST,30.23210986,-97.77275596,,,,,
2015-028870 DS,Res. Driveway,New,1102 W MONROE ST,10/16/2015,"Residential driveway approach, 12\'.  New.  Sidewalk fee in lieu of construction has been paid.  Previous tree was removed and driveway approach shall be widened to straighten approach.  Shall meet all city standards.**nmt",Active,"Bryan Wolff, Wolff Construction",,,,,,Salado,TX,76571,(254) 947-8271,URIAS HAROLD & MARY RUTH,,,,,,AUSTIN,TX,78704 3457,,,,,,,,0,0.171AC OF LOT 17-18 BLK E CAPITAL HEIGHTS,1102 W MONROE ST,30.25200996,-97.76116247,,,,,,1102 W MONROE ST,30.25200996,-97.76116247,,,,,
2015-035419 PP,C-1000 Commercial Remodel,Remodel,201 E MARY ST,10/16/2015,Interior remodel and replace HVAC to existing Public Secondary Educational Facility ,Final,"Alfred Botello, Capital Industries LLC",,,,,,Austin,TX,78709,(512) 323-5544,,,,,,,,,,,,,,,25000,0,0,Lot:   Block:   Subdivision: FULMORE JUNIOR HIGH SCHOOL SUBDIVISION,201 E MARY ST,30.24431312,-97.75015764,,,,,,201 E MARY ST,30.24431312,-97.75015764,,,,,
2015-041570 PP,C-1000 Commercial Remodel,Remodel,4525 S IH 35 SVRD NB,10/16/2015,Interior Remodel to Existing Hotel to 2nd floor Laundry Room and Storage Area ,Final,"Joshua L. Phelps, JL Phelps & Associates",1779,Wells Branch,PKWY,Suite,110 B-370,Austin,TX,78728,(512) 367-9272,RLJ II-F AUSTIN S LP RLJ CAPITAL PARTNERS II LLC,,,,,,BETHESDA,MD,20814 6347,,,,,,113,1,0,Lot: 1 Block: A Subdivision: COVERT ADDITION NO. 1 RESUBDIVISION,4525 S IH 35 SVRD NB,30.20992876,-97.75422412,,,,,,4525 S IH 35 SVRD NB,30.20992876,-97.75422412,,,,,
2015-041571 PP,C-1000 Commercial Remodel,Remodel,4525 S IH 35 SVRD NB,10/16/2015,Interior Remodel to Existing Hotel to 3rd floor Breakroom and Storage ,Final,"Joshua L. Phelps, JL Phelps & Associates",1779,Wells Branch,PKWY,Suite,110 B-370,Austin,TX,78728,(512) 367-9272,RLJ II-F AUSTIN S LP RLJ CAPITAL PARTNERS II LLC,,,,,,BETHESDA,MD,20814 6347,,,,,,113,1,0,Lot: 1 Block: A Subdivision: COVERT ADDITION NO. 1 RESUBDIVISION,4525 S IH 35 SVRD NB,30.20992876,-97.75422412,,,,,,4525 S IH 35 SVRD NB,30.20992876,-97.75422412,,,,,
2015-049682 DS,"Res. Driveway, Sidewalk, Curb, Gutter",New,2322 SANTA MARIA ST,10/16/2015,"Construct new driveway approach.  Close sections of previous curb cut with 8 LF new C&G.  Construct new walkway from curb to residence.  Public sidewalk fee paid in lieu of construction 11/22/15.  Shall meet all city standards.**nmt    *New 2-story single family residence to have (3) bedrooms, (2.5) bathrooms, an attached 1-car garage, and a front porch.",Final,"Chris  J Harrison, DigDug Construction, LLC",,,,,,AUSTIN,TX,78709,(512) 626-4020,,,,,,,,,,,,,,,,,0,Lot: 5 Block: 5 Subdivision: INDUSTRIAL ADDITION,2322 SANTA MARIA ST,30.25752212,-97.71690892,,,,,,2322 SANTA MARIA ST,30.25752212,-97.71690892,,,,,
2015-060658 MP,R- 434 Addition & Alterations,Addition and Remodel,1806 CLIFFORD AVE,10/16/2015,Partial demolition - Expansion of kitchen on 1st floor. Addition of 2nd story,Active,"Leslie E. Wallace III, Intelligent Air Services",,,,,,Austin,TX,78766,(512) 323-2500,,,,,,,,,,,1616.41,1583.89,,,,1,0,Lot: 4 Block: A Subdivision: DAVIS PLACE II,1806 CLIFFORD AVE,30.281228,-97.70781444,,,,,,1806 CLIFFORD AVE,30.281228,-97.70781444,,,,,
2015-060788 MP,R- 101 Single Family Houses,New,4908 BEVERLY SKYLINE,10/16/2015,"New 2 story 5 bedroom 5 bath 3 car garage, single family residential.",Active,"John Austin Williams, Stan\'s Heating and Air Conditioning",9200,WATERFORD CENTRE,BLVD,Suite,100,AUSTIN,TX,78758,(512) 929-9393,,,,,,,,,,,,6782,,,,1,0,LOT 18 BLK A BEVERLY HILLS SEC 1,4908 BEVERLY SKYLINE,30.33504338,-97.76612553,,,,,,4908 BEVERLY SKYLINE,30.33504338,-97.76612553,,,,,
2015-064430 BP,C-1000 Commercial Remodel,Remodel,5020 BURNET RD,10/16/2015,Change of use and Interior / Exterior remodel from Restaurant to Retail (Mattress Store).,Final,"Robert E. Apple Sr., Angler Retail Construction LLC.",6514,River Mill,DR,,,Spring,TX,77379,(281) 684-3892,PS HOLDINGS INCORPORATED,,,,,,GEORGETOWN,TX,78628,,,,195000,,4134,1,0,Lot: A Block:   Subdivision:  ,5020 BURNET RD,30.32169306,-97.73976006,,,,,,5020 BURNET RD,30.32169306,-97.73976006,,,,,
2015-064430 BP,C-1000 Commercial Remodel,Remodel,5020 BURNET RD,10/16/2015,Change of use and Interior / Exterior remodel from Restaurant to Retail (Mattress Store).,Final,"Robert E. Apple Sr., Angler Retail Construction LLC.",6514,River Mill,DR,,,Spring,TX,77379,(281) 684-3892,5020 BURNET LLC,,,,,,KYLE,TX,78640,,,,195000,,4134,1,0,Lot: A Block:   Subdivision:  ,5020 BURNET RD,30.32169306,-97.73976006,,,,,,5020 BURNET RD,30.32169306,-97.73976006,,,,,
2015-068291 PP,R- 434 Addition & Alterations,Addition and Remodel,202 W 33RD ST,10/16/2015,"Partial demolition of existing non complying residence front porch and roof structure for new habitable attic addition. First floor addition to extend front porch and add new uncovered deck. Habitable attic addition to include new playroom, bedroom2 and 3 and bathroom. Interior remodel of first floor area to reconfigure space to accommodate new addition.",Active,"Daniel Blake Smith, Excalibur Plumbing",11880,FM 2243,RD,Unit,308,Leander,TX,78641,(512) 267-7222,,,,,,,,,,,0,1480,,,,1,0,E50FT OF LOT 19 BLK 1 OLT 74 DIV D ALDRIDGE PLACE,202 W 33RD ST,30.298567,-97.73698855,,,,,,202 W 33RD ST,30.298567,-97.73698855,,,,,
2015-072187 MP,C-1000 Commercial Remodel,Remodel,801 E WILLIAM CANNON DR UNIT 201,10/16/2015,Change Of Use from Financial to Medical and Interior Remodel ,Active,"Kenny Hoang, Johnny Electric & HVAC",5807,Baskerville,Dr,,,Richardson,TX,75082,(214) 952-5002,,,,,,,,,,,,,,,2661,0,0,18.5220 ACR OF LOT 1 CENTURY SOUTH,801 E WILLIAM CANNON DR UNIT 201,30.19061659,-97.77229847,,,,,,801 E WILLIAM CANNON DR UNIT 201,30.19061659,-97.77229847,,,,,
2015-074003 DS,Res. Driveway,New,611 FLETCHER ST,10/16/2015,"Residential driveway approach, 12\'.  New.  Sidewalk fee paid in lieu of construction.  See memo & receipt attached to PR.**nmt\r",Active,"Stewart Builders, Inc. DBA Keystone Concrete Placement",16575,VILLAGE DRIVE, ,,,HOUSTON,TX,77040,(512) 931-3033,,,,,,,,,,,,,,,,,0,N 115 FT OF LOT 14 BLK 3 FAULK HENRY,611 FLETCHER ST,30.24344269,-97.75951934,,,,,,611 FLETCHER ST,30.24344269,-97.75951934,,,,,
2015-074993 MP,R- 103 Two Family Bldgs,New,2304 THORNTON RD,10/16/2015,"New 2 story duplex; 6 vedroom, 6 bathroom, garages, covered patio areas.",Active,"Kyle E. Bacon, Elite Heating & Air Conditioning LLC",8910,Research,Blvd,,,Austin,TX,78758,(512) 380-0058,GUILLORY KELLY R & CLAIRE C WHITEHEAD,,,,,,AUSTIN,TX,78704 4906,,,6562,,,,2,0,S 70FT OF LOT 16 BLK 2 FREDERICKSBURG ROAD ACRES,2304 THORNTON RD,30.2453906,-97.77221191,,,,,,2304 THORNTON RD,30.2453906,-97.77221191,,,,,
2015-078710 MP,R- 330  Accessory Use to Primary,New,3103 WHITE ROCK DR,10/16/2015,New construction of a single-story detached Guest House per LDC 25-2-893-D having  one full bathroom and living area with a utility sink outside of full bathroom and attached covered porch.,Final,"Niem Van Trinh, Air General Heating And Air",4800,Misty Brook,Cv,,,Austin,TX,78727,(512) 338-4663,,,,,,,,,,,,754,,,,1,0,LOT 36 BLK H ALLANDALE WEST SEC 5,3103 WHITE ROCK DR,30.3399608,-97.75133892,,,,,,3103 WHITE ROCK DR,30.3399608,-97.75133892,,,,,
2015-082546 MP,R- 101 Single Family Houses,New,5409 AVENUE F,10/16/2015,"New construction of a two-story single-family residence having 3 bedrooms and 2.5 bathrooms with attached garage, porches, and balcony.",Active,"Kirt Lamontagne, Christianson Plumbing & Air Co",1950,Louis Henna ,BLVD,,,Round Rock ,TX,78664,(512) 246-5200,SMITH GEORGE W,,,,,,SAN ANTONIO,TX,78232 2204,,,2144,,,,1,0,LOT 23-24 BLK 40 HIGHLANDS THE,5409 AVENUE F,30.31932052,-97.71990216,,,,,,5409 AVENUE F,30.31932052,-97.71990216,,,,,
2015-089114 MP,R- 103 Two Family Bldgs,New,1605 NEW YORK AVE,10/16/2015,New Duplex w/ 6 bedrooms and 5 baths ,Active,"Leslie E. Wallace III, Intelligent Air Services",,,,,,Austin,TX,78766,(512) 323-2500,WALTON HOMES LLC,,,,,,AUSTIN,TX,78748,,,4916,,,,2,0,LOT 29 BLK 9-10 OLT 57 DIV B PATTERSON J H,1605 NEW YORK AVE,30.27212563,-97.72225874,,,,,,1605 NEW YORK AVE,30.27212563,-97.72225874,,,,,
2015-091078 MP,C-1001 Commercial Finish Out,Remodel,14009 N US 183 HWY SVRD NB UNIT 107,10/16/2015,Tenant Finish - Out to create Retail.,Final,"Tu Huynh, Airco Mechanical",9200,Waterford Centre,BLVD,,600,Austin,TX,78758,(512) 789-4151,,,,,,,,,,,,,,,5000,1,0,"NORTHWEST 183 SUB SEC 1, BLOCK A, LOT 2, ACRES 1.435",14009 N US 183 HWY SVRD NB UNIT 107,30.47573914,-97.7989484,,,,,,14009 N US 183 HWY SVRD NB UNIT 107,30.47573914,-97.7989484,,,,,
